city,state,lat,lon
Aguadilla,PR,18.4554,-67.1308
Aguanga,CA,33.4473,-116.7997
Aguas Buenas,PR,18.2583,-66.1050
Aguila,AZ,33.9428,-113.1733
Aguilar,CO,37.3933,-104.6769
Aguirre,PR,18.2500,-66.1031
Ah Gwah Ching,MN,46.2428,-93.2747
Ahmeek,MI,47.2989,-88.3964
Ahoskie,NC,36.2957,-76.9966
Ahsahka,ID,46.5103,-116.3715
Ahwahnee,CA,37.4076,-119.7233
Aibonito,PR,18.1417,-66.2650
Aiea,HI,21.3908,-157.9332
Aiken,SC,33.5530,-81.7194
Aiken,TX,34.1422,-101.5253
Ailey,GA,32.2143,-82.4762
Aimwell,LA,31.7619,-91.9925
Ainsworth,IA,41.3202,-91.5472
Ainsworth,NE,42.5403,-99.8615
Airville,PA,39.8210,-76.4012
Airway Heights,WA,47.6447,-117.5922
Aitkin,MN,46.4799,-93.6454
Ajo,AZ,32.3735,-112.8587
Akaska,SD,45.3324,-100.1186
Akeley,MN,47.0010,-94.7234
Akers,LA,30.2900,-90.4017
Akiachak,AK,60.8919,-161.3923
Akiak,AK,60.8906,-161.1993
Akin,IL,37.9878,-88.7522
Akron,AL,32.8724,-87.7086
Akron,CO,40.1803,-103.2259
Akron,IA,42.8354,-96.5225
Akron,IN,41.0389,-86.0395
Akron,MI,43.5844,-83.5393
Akron,NY,43.0249,-78.5084
Akron,OH,41.0449,-81.5200
Akron,PA,40.1571,-76.2053
Akutan,AK,54.1430,-165.7854
Alabaster,AL,33.2369,-86.8129
Alachua,FL,29.7970,-82.4805
Aladdin,WY,44.7473,-104.1931
Alakanuk,AK,62.7470,-164.6023
Alamance,NC,36.0350,-79.4861
Alameda,CA,37.7648,-122.2605
Alamo,CA,37.8537,-122.0229
Alamo,GA,32.1330,-82.7944
Alamo,IN,39.9819,-87.0572
Alamo,ND,48.5858,-103.4222
Alamo,NV,37.3259,-115.3080
Alamo,TN,35.8017,-89.1765
Alamo,TX,26.1906,-98.1164
Alamogordo,NM,32.8932,-105.9485
Alamosa,CO,37.4703,-105.8786
Alanreed,TX,35.2125,-100.7339
Alanson,MI,45.4405,-84.7924
Alapaha,GA,31.3940,-83.2132
Alba,MI,44.9747,-84.9686
Alba,MO,37.2383,-94.4172
Alba,PA,41.7050,-76.8286
Alba,TX,32.7652,-95.5971
Albany,CA,37.8900,-122.2954
Albany,GA,31.5678,-84.1619
Albany,IL,41.7659,-90.2081
Albany,IN,40.2920,-85.2580
Albany,KY,36.6857,-85.1407
Albany,LA,30.5149,-90.5964
Albany,MN,45.6151,-94.5740
Albany,MO,40.2513,-94.3270
Albany,NY,42.6525,-73.7566
Albany,OH,39.2097,-82.2177
Albany,OK,33.8814,-96.1625
Albany,OR,44.6277,-123.0944
Albany,TX,32.7190,-99.3196
Albany,VT,44.7344,-72.3418
Albany,WI,42.7155,-89.4357
Albemarle,NC,35.3573,-80.2044
Albers,IL,38.5320,-89.6202
Albert,KS,38.4758,-98.9807
Albert,OK,35.2328,-98.4111
Albert City,IA,42.7784,-94.9824
Albert Lea,MN,43.6537,-93.3707
Alberta,AL,32.1449,-87.3425
Alberta,MN,45.5571,-96.0498
Alberta,VA,36.8806,-77.9055
Alberton,MT,46.9806,-114.4921
Albertson,NC,35.1176,-77.8515
Albertson,NY,40.7703,-73.6514
Albertville,AL,34.2739,-86.2064
Albertville,MN,45.2534,-93.6469
Albia,IA,41.0287,-92.7946
Albin,WY,41.4342,-104.1505
Albion,CA,39.2159,-123.7214
Albion,IA,42.1143,-92.9882
Albion,ID,42.4128,-113.5772
Albion,IL,38.3740,-88.0636
Albion,IN,41.3482,-85.4142
Albion,ME,44.5355,-69.4683
Albion,MI,42.2581,-84.7561
Albion,NE,41.7049,-97.9991
Albion,NY,43.2398,-78.2068
Albion,OK,34.6628,-95.0997
Albion,PA,41.8859,-80.3753
Albion,RI,41.9511,-71.4550
Albion,WA,46.7911,-117.2494
Alborn,MN,46.9782,-92.5579
Albright,WV,39.5701,-79.6358
Albrightsville,PA,40.9748,-75.5842
Albuquerque,NM,35.0936,-106.6423
Alburgh,VT,44.9685,-73.2810
Alburnett,IA,42.1583,-91.6392
Alburtis,PA,40.4862,-75.6211
Alcalde,NM,36.0900,-106.0567
Alcester,SD,43.0047,-96.6332
Alcoa,TN,35.7852,-83.9809
Alcolu,SC,33.7684,-80.1788
Alcova,WY,42.5684,-106.6102
Alcove,NY,42.4538,-74.0347
Alda,NE,40.8569,-98.4551
Alden,IA,42.5179,-93.3841
Alden,IL,42.4589,-88.5178
Alden,KS,38.2343,-98.3112
Alden,MI,44.8779,-85.2241
Alden,MN,43.6466,-93.5823
Alden,NY,42.8984,-78.5257
Alder,MT,45.3239,-112.1064
Alder Creek,NY,43.4157,-75.2137
Alderpoint,CA,40.1764,-123.6106
Alderson,OK,34.9000,-95.6917
Alderson,WV,37.7301,-80.6713
Aldie,VA,38.9756,-77.6417
Aldrich,MN,46.4025,-94.9920
Aldrich,MO,37.5057,-93.5576
Aledo,IL,41.2008,-90.7416
Aledo,TX,32.7004,-97.6039
Aleknagik,AK,59.2697,-158.6199
Aleppo,PA,39.8246,-80.4579
Alex,OK,34.9612,-97.7571
Alexander,AR,34.6313,-92.4727
Alexander,IA,42.8114,-93.4450
Alexander,IL,39.7259,-90.0353
Alexander,KS,38.4570,-99.5378
Alexander,NC,35.7064,-82.6311
Alexander,ND,47.8435,-103.6396
Alexander,NY,42.9159,-78.2589
Alexander City,AL,32.9414,-85.9511
Alexandria,AL,33.7808,-85.8924
Alexandria,IN,40.2561,-85.6681
Alexandria,KY,38.9406,-84.3943
Alexandria,LA,31.2885,-92.4633
Alexandria,MN,45.8817,-95.3820
Alexandria,MO,40.3445,-91.5154
Alexandria,NE,40.2614,-97.4039
Alexandria,OH,40.1060,-82.6077
Alexandria,PA,40.5499,-78.1071
Alexandria,SD,43.6238,-97.7821
Alexandria,TN,36.0711,-86.0372
Alexandria,VA,38.7911,-77.0766
Alexandria,VA,38.8200,-77.0589
Alexandria Bay,NY,44.3270,-75.9306
Alexis,IL,41.0521,-90.5436
Alexis,NC,35.3836,-81.1022
Alford,FL,30.7141,-85.3484
Alfred,ME,43.4875,-70.6961
Alfred,NY,42.2552,-77.7930
Alfred Station,NY,42.2558,-77.7781
Alger,MI,44.1395,-84.1872
Alger,OH,40.7060,-83.8250
Algodones,NM,35.4285,-106.6166
Algoma,MS,34.1761,-89.0311
Algoma,WI,44.6101,-87.4578
Algona,IA,43.0660,-94.2306
Algonac,MI,42.6307,-82.5602
Algonquin,IL,42.1709,-88.3014
Alhambra,CA,34.0914,-118.1293
Alhambra,IL,38.8822,-89.7441
Alice,TX,27.7432,-98.0836
Aliceville,AL,33.1228,-88.1667
Alicia,AR,35.9423,-91.0810
Alief,TX,29.7108,-95.5961
Aline,OK,36.5056,-98.4574
Aliquippa,PA,40.6044,-80.2816
Aliso Viejo,CA,33.5724,-117.7089
Alix,AR,35.4308,-93.7264
Alkol,WV,38.1609,-81.9840
Allakaket,AK,66.5432,-152.7122
Allamuchy,NJ,40.9217,-74.8106
Allardt,TN,36.3749,-84.8508
Alledonia,OH,39.9053,-80.9578
Alleene,AR,33.7700,-94.2603
Allegan,MI,42.5256,-85.8661
Allegany,NY,42.0918,-78.4999
Allegany,OR,43.4261,-124.0311
Alleghany,CA,39.5127,-120.7272
Alleman,IA,41.8159,-93.6063
Allen,KS,38.6375,-96.2500
Allen,KY,37.5662,-82.6363
Allen,MD,38.2872,-75.6883
Allen,MI,41.9264,-84.7608
Allen,NE,42.4437,-96.8574
Allen,OK,34.8502,-96.5585
Allen,SD,43.2908,-101.9329
Allen,TX,33.0934,-96.6454
Allen Junction,WV,37.5892,-81.3508
Allen Park,MI,42.2522,-83.2120
Allendale,IL,38.5232,-87.7219
Allendale,MI,42.9711,-85.9249
Allendale,MO,40.4856,-94.2883
Allendale,NJ,41.0327,-74.1342
Allendale,SC,33.0077,-81.3203
Allenhurst,GA,31.7741,-81.6186
Allenhurst,NJ,40.2367,-74.0067
Allenport,PA,40.0898,-79.8542
Allenspark,CO,40.2268,-105.5201
Allensville,KY,36.6947,-87.0244
Allensville,PA,40.5249,-77.8294
Allenton,MI,42.9199,-82.8868
Allenton,MO,38.5036,-90.6758
Allenton,WI,43.4681,-88.3539
Allentown,GA,32.6538,-83.1898
Allentown,NJ,40.1589,-74.5909
Allentown,NY,42.0836,-78.0647
Allentown,PA,40.6027,-75.4710
Allenwood,NJ,40.1414,-74.1003
Allenwood,PA,41.1264,-76.9724
Allerton,IA,40.7023,-93.3724
Allerton,IL,39.9188,-87.9312
Alleyton,TX,29.7453,-96.4631
Allgood,AL,33.9119,-86.5094
Alliance,NC,35.1447,-76.8025
Alliance,NE,42.1149,-102.8880
Alliance,OH,40.9158,-81.1182
Alligator,MS,34.1294,-90.7382
Allison,IA,42.7615,-92.7830
Allison,PA,39.9826,-79.8757
Allison,TX,35.6058,-100.1003
Allison Park,PA,40.5700,-79.9665
Allons,TN,36.4970,-85.3197
Allouez,MI,47.2872,-88.4094
Alloway,NJ,39.5608,-75.3628
Alloy,WV,38.1375,-81.2744
Allport,PA,40.9750,-78.2104
Allred,TN,36.3668,-85.1761
Allston,MA,42.3535,-71.1329
Allyn,WA,47.3850,-122.8536
Alma,AL,31.4639,-87.7539
Alma,AR,35.5000,-94.2073
Alma,CO,39.2839,-106.0622
Alma,GA,31.5465,-82.4633
Alma,IL,38.7231,-88.9157
Alma,KS,39.0092,-96.2923
Alma,MI,43.3809,-84.6635
Alma,MO,39.1048,-93.5429
Alma,NE,40.1189,-99.3601
Alma,NY,42.0169,-78.0400
Alma,WI,44.4294,-91.8079
Alma,WV,39.4298,-80.8172
Alma Center,WI,44.4452,-90.9356
Almelund,MN,45.4914,-92.7853
Almena,KS,39.8891,-99.7042
Almena,WI,45.4195,-92.0027
Almira,WA,47.7632,-118.9123
Almo,ID,42.1003,-113.6328
Almo,KY,36.7128,-88.3087
Almond,NC,35.3295,-83.5784
Almond,NY,42.3160,-77.7780
Almond,WI,44.2898,-89.3584
Almont,CO,38.6500,-106.6271
Almont,MI,42.9260,-83.0362
Almont,ND,46.7046,-101.5221
Almyra,AR,34.4146,-91.4310
Alna,ME,44.1061,-69.6042
Alpaugh,CA,35.8878,-119.4864
Alpena,AR,36.2998,-93.2792
Alpena,MI,45.0790,-83.4602
Alpena,SD,44.1709,-98.3962
Alpha,IL,41.1930,-90.3821
Alpha,KY,36.7797,-85.0924
Alpha,MI,46.0439,-88.3769
Alpha,MN,43.5946,-94.9051
Alpha,OH,39.7117,-84.0233
Alpharetta,GA,34.1048,-84.2949
Alpine,AL,33.3312,-86.2089
Alpine,AR,34.2289,-93.3789
Alpine,AZ,33.8279,-109.1283
Alpine,CA,32.8282,-116.7543
Alpine,NJ,40.9511,-73.9308
Alpine,NY,42.3510,-76.7348
Alpine,TN,36.3803,-85.1522
Alpine,TX,30.2631,-103.6541
Alpine,UT,40.4616,-111.7689
Alpine,WY,43.1753,-111.0339
Alplaus,NY,42.8573,-73.9002
Alsea,OR,44.3691,-123.6089
Alsen,ND,48.6368,-98.6225
Alsey,IL,39.5606,-90.4339
Alsip,IL,41.6723,-87.7339
Alstead,NH,43.1265,-72.3281
Alston,GA,32.0806,-82.4778
Alta,CA,39.2280,-120.7732
Alta,IA,42.6771,-95.3129
Alta,WY,43.7539,-111.0361
Alta Vista,IA,43.1482,-92.4237
Alta Vista,KS,38.8636,-96.4800
Altadena,CA,34.1912,-118.1392
Altair,TX,29.5711,-96.4539
Altamahaw,NC,36.1842,-79.5075
Altamont,IL,39.0634,-88.7481
Altamont,KS,37.1873,-95.2983
Altamont,MO,39.9050,-94.1282
Altamont,NY,42.7063,-74.0193
Altamont,TN,35.4258,-85.7635
Altamont,UT,40.3702,-110.4464
Altamonte Springs,FL,28.6627,-81.3719
Altaville,CA,38.0769,-120.5522
Altavista,VA,37.1222,-79.2911
Altenburg,MO,37.6306,-89.5815
Altha,FL,30.5319,-85.1704
Altheimer,AR,34.3062,-91.8289
Altmar,NY,43.4970,-75.9719
Alto,GA,34.4591,-83.6020
Alto,MI,42.8243,-85.4256
Alto,NM,33.3883,-105.6900
Alto,TX,31.6478,-95.0798
Alto Pass,IL,37.5681,-89.3172
Alton,AL,33.5792,-86.6375
Alton,IA,42.9782,-96.0173
Alton,IL,38.9087,-90.1568
Alton,KS,39.4514,-98.9539
Alton,MO,36.7025,-91.3927
Alton,NH,43.4630,-71.2297
Alton,NY,43.2111,-76.9808
Alton,UT,37.4699,-112.5484
Alton,VA,36.5894,-79.0202
Alton Bay,NH,43.4845,-71.2489
Altona,IL,41.1128,-90.1598
Altona,NY,44.8816,-73.6408
Altonah,UT,40.4419,-110.4385
Altoona,AL,34.0429,-86.3509
Altoona,FL,29.0219,-81.6323
Altoona,IA,41.6475,-93.4724
Altoona,KS,37.5197,-95.6483
Altoona,PA,40.5209,-78.4089
Altoona,WI,44.8021,-91.4382
Altura,MN,44.1361,-91.9745
Alturas,CA,41.4767,-120.5456
Alturas,FL,27.8714,-81.7153
Altus,AR,35.4049,-93.8115
Altus,OK,34.6484,-99.3205
Altus Afb,OK,34.6592,-99.2806
Alum Bank,PA,40.1858,-78.6206
Alum Bridge,WV,39.0425,-80.6882
Alum Creek,WV,38.2858,-81.7863
Alva,FL,26.7147,-81.6351
Alva,OK,36.8016,-98.6722
Alva,WY,44.6947,-104.4408
Alvada,OH,41.0463,-83.3770
Alvadore,OR,44.1269,-123.2633
Alvarado,MN,48.2020,-96.9915
Alvarado,TX,32.4395,-97.2130
Alvaton,KY,36.8630,-86.3632
Alverda,PA,40.6303,-78.8572
Alverton,PA,40.1279,-79.5586
Alvin,IL,40.3007,-87.6080
Alvin,TX,29.4120,-95.2515
Alviso,CA,37.4277,-121.9686
Alvo,NE,40.8992,-96.4036
Alvord,IA,43.3201,-96.2910
Alvord,TX,33.3698,-97.6885
Alvordton,OH,41.6625,-84.4355
Alzada,MT,45.1562,-104.2617
Ama,LA,29.9435,-90.2925
Amado,AZ,31.6438,-111.0722
Amador City,CA,38.4194,-120.8231
Amagansett,NY,40.9736,-72.1442
Amagon,AR,35.5616,-91.0796
Amalia,NM,36.9419,-105.4539
Amana,IA,41.8313,-91.8855
Amanda,OH,39.6251,-82.7552
Amanda Park,WA,47.4706,-123.9074
Amargosa Valley,NV,36.9440,-116.5776
Amarillo,TX,35.1663,-101.8868
Amarillo,TX,35.2032,-101.8421
Amasa,MI,46.2267,-88.4533
Amawalk,NY,41.2946,-73.7611
Amazonia,MO,39.9092,-94.9113
Amber,OK,35.1377,-97.7646
Amberg,WI,45.4989,-87.9643
Amberson,PA,40.1703,-77.6775
Ambia,IN,40.4793,-87.4796
Ambler,AK,67.4695,-156.4557
Ambler,PA,40.1663,-75.2072
Amboy,CA,34.5990,-115.7749
Amboy,IL,41.7042,-89.3472
Amboy,IN,40.6105,-85.9497
Amboy,MN,43.8903,-94.1774
Amboy,WA,45.9195,-122.4574
Ambridge,PA,40.5954,-80.2198
Ambrose,GA,31.5367,-82.9976
Ambrose,ND,48.8172,-103.7007
Amelia,LA,29.6605,-91.1111
Amelia,NE,42.1809,-99.0080
Amelia,OH,39.0211,-84.2112
Amelia Court House,VA,37.3502,-77.9552
Amenia,ND,47.0194,-97.2048
Amenia,NY,41.8447,-73.5542
American Canyon,CA,38.1750,-122.2597
American Falls,ID,42.7899,-112.8707
American Fork,UT,40.3928,-111.7941
Americus,GA,32.0708,-84.2247
Americus,GA,32.0881,-84.2362
Americus,KS,38.5098,-96.2608
Amery,WI,45.3252,-92.3615
Ames,IA,42.0299,-93.6394
Ames,NE,41.4613,-96.6463
Ames,OK,36.2423,-98.1820
Amesbury,MA,42.8559,-70.9367
Amesville,OH,39.4086,-81.9650
Amherst,CO,40.6824,-102.1706
Amherst,MA,42.3770,-72.5156
Amherst,NE,40.8495,-99.2609
Amherst,NH,42.8569,-71.6075
Amherst,OH,41.3905,-82.2282
Amherst,SD,45.7074,-97.9301
Amherst,TX,33.9976,-102.4416
Amherst,VA,37.6027,-79.0506
Amherst,WI,44.4231,-89.3035
Amherst Junction,WI,44.5065,-89.3038
Amherstdale,WV,37.7956,-81.7589
Amidon,ND,46.4560,-103.2647
Amigo,WV,37.5921,-81.3491
Amissville,VA,38.6714,-77.9958
Amistad,NM,35.8983,-103.2130
Amite,LA,30.7182,-90.5705
Amity,AR,34.2594,-93.4206
Amity,MO,39.8837,-94.5136
Amity,OR,45.1157,-123.1744
Amity,PA,40.0618,-80.1949
Amityville,NY,40.6842,-73.4171
Amlin,OH,40.0720,-83.1792
Amma,WV,38.5455,-81.2532
Ammon,VA,37.1508,-77.7444
Amo,IN,39.6881,-86.6136
Amonate,VA,37.1908,-81.6389
Amoret,MO,38.2605,-94.5734
Amorita,OK,36.9412,-98.2458
Amory,MS,33.9844,-88.4709
Amsterdam,MO,38.3954,-94.5763
Amsterdam,NY,42.9488,-74.1839
Amsterdam,OH,40.4731,-80.9596
Amston,CT,41.6290,-72.3646
Anabel,MO,39.7368,-92.3511
Anacoco,LA,31.2218,-93.3589
Anaconda,MT,46.1299,-112.9739
Anacortes,WA,48.5004,-122.6309
Anadarko,OK,35.0728,-98.2429
Anaheim,CA,33.8427,-117.9540
Anahola,HI,22.1453,-159.3156
Anahuac,TX,29.7810,-94.5548
Anaktuvuk Pass,AK,68.1188,-151.6790
Analomink,PA,41.0511,-75.2208
Anamoose,ND,47.8703,-100.2529
Anamosa,IA,42.1078,-91.2851
Anasco,PR,18.2847,-67.1400
Anatone,WA,46.1285,-117.0883
Anawalt,WV,37.3358,-81.4367
Anchor,IL,40.5441,-88.5266
Anchor Point,AK,59.7888,-151.7329
Anchorage,AK,61.2116,-149.8761
Anchorville,MI,42.7118,-82.7094
Ancona,IL,41.0551,-88.7660
Ancram,NY,42.0851,-73.6424
Ancramdale,NY,42.0381,-73.5819
Andale,KS,37.7827,-97.6407
Andalusia,AL,31.2971,-86.4905
Andalusia,IL,41.4353,-90.7284
Anderson,AK,64.3007,-149.1718
Anderson,AL,34.9518,-87.2723
Anderson,CA,40.4574,-122.3282
Anderson,IN,40.1146,-85.7253
Anderson,MO,36.6692,-94.4766
Anderson,SC,34.5261,-82.6304
Anderson,TX,30.5443,-96.0018
Anderson Island,WA,47.1587,-122.6960
Andersonville,GA,32.1299,-84.1010
Andersonville,TN,36.1915,-84.0544
Andes,NY,42.1569,-74.7887
Andover,CT,41.7332,-72.3767
Andover,IA,41.9926,-90.2386
Andover,IL,41.2939,-90.2919
Andover,KS,37.6985,-97.1179
Andover,MA,42.6496,-71.1565
Andover,ME,44.6637,-70.7967
Andover,MN,45.2507,-93.2845
Andover,NH,43.4287,-71.7830
Andover,NJ,40.9614,-74.7524
Andover,NY,42.1575,-77.7920
Andover,OH,41.6225,-80.5754
Andover,SD,45.4222,-97.9175
Andover,VA,36.9236,-82.7967
Andreas,PA,40.7465,-75.8342
Andrew,IA,42.1585,-90.6004
Andrews,IN,40.8618,-85.6067
Andrews,NC,35.1959,-83.8228
Andrews,SC,33.4525,-79.5604
Andrews,TX,32.3201,-102.5409
Andrews Air Force Base,MD,38.8033,-76.8714
Aneta,ND,47.6993,-97.9814
Aneth,UT,37.2147,-109.2983
Angel Fire,NM,36.5547,-105.2631
Angela,MT,46.7719,-106.3157
Angeles,PR,18.2869,-66.7997
Angelica,NY,42.3263,-77.9947
Angels Camp,CA,38.0640,-120.5544
Angelus Oaks,CA,34.1531,-116.9485
Angie,LA,30.9224,-89.8567
Angier,NC,35.4897,-78.7249
Angle Inlet,MN,49.3249,-95.0902
Angleton,TX,29.1810,-95.4467
Angola,IN,41.6563,-85.0198
Angola,LA,30.9656,-91.5979
Angola,NY,42.6366,-79.0497
Angoon,AK,57.5698,-134.3711
Angora,MN,47.7577,-92.6413
Angora,NE,41.8934,-103.0850
Anguilla,MS,33.0121,-90.8095
Angwin,CA,38.5769,-122.4477
Aniak,AK,61.6916,-157.7585
Animas,NM,31.7937,-108.5857
Anita,IA,41.4500,-94.7794
Anita,PA,41.0018,-78.9666
Aniwa,WI,45.0104,-89.2683
Ankeny,IA,41.7276,-93.6022
Anmoore,WV,39.2567,-80.2925
Ann Arbor,MI,42.2794,-83.7840
Anna,IL,37.4668,-89.2207
Anna,OH,40.4051,-84.2103
Anna,TX,33.3445,-96.5639
Anna Maria,FL,27.5308,-82.7336
Annabella,UT,38.7092,-112.0592
Annada,MO,39.2558,-90.8224
Annandale,MN,45.2483,-94.1061
Annandale,NJ,40.6287,-74.8855
Annandale,VA,38.8307,-77.2142
Annandale On Hudson,NY,41.9953,-73.8311
Annapolis,CA,38.7145,-123.3142
Annapolis,IL,39.1179,-87.8029
Annapolis,MD,38.9996,-76.5031
Annapolis,MO,37.3981,-90.6702
Annapolis Junction,MD,39.1310,-76.7981
Annawan,IL,41.3980,-89.9129
Annemanie,AL,32.0528,-87.5708
Anniston,AL,33.6539,-85.8382
Anniston,MO,36.8258,-89.3278
Annona,TX,33.5535,-94.8992
Annville,KY,37.3070,-83.9597
Annville,PA,40.3456,-76.5447
Anoka,MN,45.2385,-93.4078
Anselmo,NE,41.6362,-99.7991
Ansley,NE,41.3019,-99.3645
Anson,ME,44.7831,-69.9309
Anson,TX,32.7489,-99.8953
Ansonia,CT,41.3427,-73.0742
Ansonia,OH,40.2151,-84.6406
Ansonville,NC,35.1044,-80.1094
